Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-5.1936E-05,2.9686E-05,0.0056124,0,0,0,1.5287,0.0042744,-7.4428E-07,1.302E-07,0.0042768,-1.5704E-07,0.0082196,0,0,0,0,0,0,package://1/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://1/meshes/base_link.STL,,day-1,Coordinate System1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
1,0.0332191557919046,-4.07081591491387E-08,-2.30852152671712E-08,0,0,0,0.0164328703182061,6.96008977557597E-07,-3.05683665436E-11,-1.54396755571041E-11,1.0778694503897E-05,-4.42594051439949E-12,1.11962992701903E-05,0,0,0,0,0,0,package://1/meshes/1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://1/meshes/1.STL,,1-3,Coordinate System9,Axis6,1,revolute,0.13,0,-0.02,1.5708,-0.08134,0,base_link,0,0,-1,1000,1000,0,6.28,,,,,,,,
11,0.187041649958656,3.04639278003171E-05,-0.000118298476555284,0,0,0,0.0102579764680681,6.53497554218515E-08,-1.00662347173867E-13,2.55645062216074E-14,8.64652043610904E-05,1.01309643571517E-09,8.64588045717685E-05,0,0,0,0,0,0,package://1/meshes/11.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://1/meshes/11.STL,,tay-4;02-2,Coordinate System11,Axis19,11,revolute,0.08,0,0.014,0,0,-2.1423,1,0,0,-1,1000,1000,0,6.28,,,,,,,,
111,0.0105234847608626,-0.0195812695010976,-0.0133189286659302,0,0,0,0.00786273505010893,2.21087038378526E-06,4.82526211923474E-07,2.87491033081575E-14,1.56393260426946E-06,-5.15729650872001E-14,1.29721535623425E-06,0,0,0,0,0,0,package://1/meshes/111.STL,0.505882352941176,0.505882352941176,0.584313725490196,1,0,0,0,0,0,0,package://1/meshes/111.STL,,02-12;end-1,Coordinate System21,Axis21,111,revolute,0.39485,0,0,0,0,0,11,0,0,-1,1000,1000,0,6.28,,,,,,,,
12,0.187041679018799,-3.04645412353907E-05,0.000118298681988704,0,0,0,0.0102579762667969,6.53497456837694E-08,-7.64726099993218E-14,1.7972550285944E-14,8.64652043697065E-05,1.0131123246709E-09,8.64588045410236E-05,0,0,0,0,0,0,package://1/meshes/12.STL,0.505882352941176,0.505882352941176,0.584313725490196,1,0,0,0,0,0,0,package://1/meshes/12.STL,,02-1;tay-3,Coordinate System10,Axis18,12,revolute,0.08,0,-0.014,0,0,-2.1423,1,0,0,1,1000,1000,0,6.28,,,,,,,,
121,-2.42861286636753E-15,5.20417042793042E-16,0.00407409549700105,0,0,0,0.000539506193520435,1.25867201372513E-08,-2.06795153138257E-25,-5.46456192167844E-23,1.25867201372513E-08,-1.08257262667877E-22,3.31683628481004E-09,0,0,0,0,0,0,package://1/meshes/121.STL,0.505882352941176,0.505882352941176,0.584313725490196,1,0,0,0,0,0,0,package://1/meshes/121.STL,,02-11,Coordinate System20,Axis20,121,revolute,0.39485,0,0,0,0,0,12,0,0,1,1000,1000,0,6.28,,,,,,,,
2,0.0332191557919039,-4.07081590381164E-08,-2.30852152394156E-08,0,0,0,0.0164328703182062,6.96008977557598E-07,-3.05683665423741E-11,-1.54396755563603E-11,1.0778694503897E-05,-4.42594051820368E-12,1.11962992701903E-05,0,0,0,0,0,0,package://1/meshes/2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://1/meshes/2.STL,,1-1,Coordinate System12,Axis7,2,revolute,-0.065,-0.11258,-0.02,1.5708,-0.08134,-2.0944,base_link,0,0,-1,1000,1000,0,6.28,,,,,,,,
21,0.187041671275491,7.51833085465489E-05,-0.000147290992530053,0,0,0,0.0102579763552886,6.53497671756376E-08,-1.59042436699127E-14,2.20147016547768E-14,8.64668414103596E-05,1.74497344875076E-09,8.64571674826803E-05,0,0,0,0,0,0,package://1/meshes/21.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://1/meshes/21.STL,,tay-5;02-3,Coordinate System13,Axis14,21,revolute,0.08,0,0.014,0,0,-2.1423,2,0,0,-1,1000,1000,0,6.28,,,,,,,,
211,-2.60902410786912E-15,4.57966997657877E-16,-0.00407409549700005,0,0,0,0.000539506193520435,1.25867201372514E-08,0,-4.34350283999744E-24,1.25867201372514E-08,-3.60411820071804E-23,3.31683628481004E-09,0,0,0,0,0,0,package://1/meshes/211.STL,0.505882352941176,0.505882352941176,0.584313725490196,1,0,0,0,0,0,0,package://1/meshes/211.STL,,02-7,Coordinate System22,Axis17,211,revolute,0.39485,0,0,0,0,0,21,0,0,-1,1000,1000,0,6.28,,,,,,,,
22,0.187041660824382,-1.8358649849573E-05,0.000115267102918773,0,0,0,0.0102579739221535,6.53497610686675E-08,-9.6562975300844E-15,1.93074676600917E-15,8.64649994334799E-05,6.2980780077917E-10,8.64590092293636E-05,0,0,0,0,0,0,package://1/meshes/22.STL,0.505882352941176,0.505882352941176,0.584313725490196,1,0,0,0,0,0,0,package://1/meshes/22.STL,,02-4;tay-6,Coordinate System14,Axis15,22,revolute,0.08,0,-0.014,0,0,-2.1423,2,0,0,1,1000,1000,0,6.28,,,,,,,,
221,-2.38697950294409E-15,4.30211422042248E-16,0.00407409549700122,0,0,0,0.000539506193520435,1.25867201372513E-08,0,-1.68484367013444E-24,1.25867201372513E-08,-3.9671112035544E-23,3.31683628481004E-09,0,0,0,0,0,0,package://1/meshes/221.STL,0.505882352941176,0.505882352941176,0.584313725490196,1,0,0,0,0,0,0,package://1/meshes/221.STL,,02-8,Coordinate System24,Axis16,221,revolute,0.39485,0,0,0,0,0,22,0,0,1,1000,1000,0,6.28,,,,,,,,
3,0.0332191557919042,-4.17451739842534E-08,-2.11523470960984E-08,0,0,0,0.0164328703182062,6.96008977557598E-07,-3.12582639046092E-11,-1.39903378102715E-11,1.07796110198338E-05,1.95422987822885E-08,1.11953827542536E-05,0,0,0,0,0,0,package://1/meshes/3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://1/meshes/3.STL,,1-2,Coordinate System15,Axis8,3,revolute,-0.065,0.11258,-0.02,1.6177,-0.08134,2.0944,base_link,0,-0.046858,-0.9989,1000,1000,0,6.28,,,,,,,,
31,0.187041679448977,4.69512144913309E-05,-0.000125195768451394,0,0,0,0.0102579753897234,6.5349757908853E-08,-4.3356675841954E-14,2.83073338659512E-14,8.64656465733897E-05,1.44917960744151E-09,8.64583622446981E-05,0,0,0,0,0,0,package://1/meshes/31.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://1/meshes/31.STL,,tay-1;02-5,Coordinate System16,Axis9,31,revolute,0.08,0.00065601,0.013985,0.025366,-0.039423,-2.1428,3,0,0,-1,1000,1000,0,6.28,,,,,,,,
311,1.94289029309402E-16,8.88178419700125E-16,-0.00407409549700084,0,0,0,0.000539506193520435,1.25867201372513E-08,2.06795153138257E-25,-5.06648125188729E-24,1.25867201372513E-08,-2.67799723314043E-23,3.31683628481005E-09,0,0,0,0,0,0,package://1/meshes/311.STL,0.505882352941176,0.505882352941176,0.584313725490196,1,0,0,0,0,0,0,package://1/meshes/311.STL,,02-10,Coordinate System18,Axis12,311,revolute,0.39485,0,0,0,0,0,31,0,0,-1,1000,1000,0,6.28,,,,,,,,
32,0.187041647499592,-4.69513401012145E-05,0.000125195839974696,0,0,0,0.0102579753049328,6.53497538144675E-08,-2.03796351469718E-14,1.61252815464014E-14,8.64656465728051E-05,1.44917885692967E-09,8.64583622360096E-05,0,0,0,0,0,0,package://1/meshes/32.STL,0.505882352941176,0.505882352941176,0.584313725490196,1,0,0,0,0,0,0,package://1/meshes/32.STL,,02-6;tay-2,Coordinate System17,Axis10,32,revolute,0.08,-0.00065601,-0.013985,0.025366,-0.039423,-2.1428,3,0,0,1,1000,1000,0,6.28,,,,,,,,
321,1.66533453693773E-16,8.32667268468867E-16,0.00407409549700036,0,0,0,0.000539506193520436,1.25867201372514E-08,-9.30578189122156E-25,6.04875822929401E-24,1.25867201372514E-08,-2.19202862326552E-23,3.31683628481004E-09,0,0,0,0,0,0,package://1/meshes/321.STL,0.505882352941176,0.505882352941176,0.584313725490196,1,0,0,0,0,0,0,package://1/meshes/321.STL,,02-9,Coordinate System19,Axis11,321,revolute,0.39485,0,0,0,0,0,32,0,0,1,1000,1000,0,6.28,,,,,,,,
4,4.22051041337745E-09,7.90242890569282E-09,0.00644065846947697,0,0,0,0.00151305684520863,7.76380429873237E-08,1.06758944474477E-13,-1.27965978348483E-13,6.42955272093896E-08,2.85021212069995E-13,5.48378642213392E-08,0,0,0,0,0,0,package://1/meshes/4.STL,0.756862745098039,0.768627450980392,0.752941176470588,1,0,0,0,0,0,0,package://1/meshes/4.STL,,mid1-1,Coordinate System25,Axis3,4,revolute,0,0,-0.02,0,0,0.037403,base_link,0,0,1,1000,1000,0,6.28,,,,,,,,
41,-1.1518563880486E-15,-1.38777878078145E-16,-2.77555756156289E-17,0,0,0,0.000852115950566532,1.2127907628535E-08,1.4954880343257E-23,0,1.48133687782392E-08,2.40392107614004E-24,1.2127907628535E-08,0,0,0,0,0,0,package://1/meshes/41.STL,0.756862745098039,0.768627450980392,0.752941176470588,1,0,0,0,0,0,0,package://1/meshes/41.STL,,mid2-1,Coordinate System2,Axis5,41,revolute,0,0,-0.004,1.5708,0,0,4,0,0,-1,1000,1000,0,6.28,,,,,,,,
411,-0.113275443707768,-4.33624164353219E-10,7.89386833677241E-10,0,0,0,0.0151504453724169,6.41413678015845E-07,-1.26739956996394E-13,-2.8488974216687E-13,3.92328614975377E-05,-1.06798340584005E-13,3.95821990660991E-05,0,0,0,0,0,0,package://1/meshes/411.STL,0.756862745098039,0.768627450980392,0.752941176470588,1,0,0,0,0,0,0,package://1/meshes/411.STL,,mid3-1/mid1-1;mid3-1/Tăng giảm 0-1;mid3-1/Ống carbon-6;mid3-1/Ống carbon-5;mid3-1/Tăng giảm 1-1,Coordinate System3,Axis4,411,revolute,0,0,0,1.5708,0,1.5708,41,0,0,-1,1000,1000,0,6.28,,,,,,,,
4111,-7.99613736335303E-10,-1.49719010800187E-09,0.120044998050398,0,0,0,0.00798617591742343,1.96486123039808E-05,1.06758943387562E-13,1.27966214220805E-13,1.9806006955144E-05,-2.85021197651175E-13,3.33730404518576E-07,0,0,0,0,0,0,package://1/meshes/4111.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://1/meshes/4111.STL,,mid4-1,Coordinate System5,Axis22,4111,prismatic,-0.31187,0,0,1.5708,0,1.5708,411,0,0,1,1000,1000,0,6.28,,,,,,,,
41111,8.32667268468867E-17,-3.05311331771918E-16,5.55111512312578E-17,0,0,0,0.000852115950566531,1.2127907628535E-08,-5.84478120089882E-24,-2.48154183765908E-24,1.48133687782392E-08,-1.77217946928894E-23,1.2127907628535E-08,0,0,0,0,0,0,package://1/meshes/41111.STL,0.756862745098039,0.768627450980392,0.752941176470588,1,0,0,0,0,0,0,package://1/meshes/41111.STL,,mid2-2,Coordinate System6,Axis1,41111,revolute,0,0,0,1.5708,0,0,4111,0,0,-1,1000,1000,0,6.28,,,,,,,,
411111,-0.0258618985042968,-8.44322473048109E-10,1.53939538893866E-09,0,0,0,0.00777029234237775,5.68324834833635E-07,-1.26739956115632E-13,-2.84889744406163E-13,5.9375202534848E-07,-1.06798541171994E-13,5.80409509616738E-07,0,0,0,0,0,0,package://1/meshes/411111.STL,0.756862745098039,0.768627450980392,0.752941176470588,1,0,0,0,0,0,0,package://1/meshes/411111.STL,,mid1-2;mid5-1,Coordinate System7,Axis2,411111,revolute,0,0,0,1.5708,0,1.5708,41111,0,0,1,1000,1000,0,6.28,,,,,,,,
