Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-5.19355364633906E-05,2.96857670669115E-05,0.00561243921806476,0,0,0,1.52868437083991,0.00427436516465699,-7.44281487802473E-07,1.301987734112E-07,0.00427684753161486,-1.57041596548467E-07,0.00821958386021356,0,0,0,0,0,0,package://descripe/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://descripe/meshes/base_link.STL,,day-1,Coordinate System1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
1,0.0361016048824093,-3.81998846166187E-08,-2.16627963900429E-08,0,0,0,0.017511882705247,7.21182417832099E-07,-3.05683665432509E-11,-1.54396755567864E-11,1.08038679441715E-05,-4.4259405144789E-12,1.12029329427599E-05,0,0,0,0,0,0,package://descripe/meshes/1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://descripe/meshes/1.STL,,1-3;02-2;02-1,Coordinate System9,Axis6,1,revolute,0.13,0,-0.02,1.5708,-0.08134,0,base_link,0,0,-1,1000,1000,0,6.28,,,,,,,,
11,0.197424984552297,3.21550867238285E-05,0.00010130161816635,0,0,0,0.00971847027454767,5.27630352845987E-08,-1.00662349903563E-13,2.55645061504699E-14,8.64526176409532E-05,1.01309643570161E-09,8.64554877354837E-05,0,0,0,0,0,0,package://descripe/meshes/11.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://descripe/meshes/11.STL,,tay-4,Coordinate System11,Axis19,11,revolute,0.0800000000000004,0,0.0139999999999985,0,0,-2.14225469636022,1,0,0,-1,1000,1000,0,6.28,,,,,,,,
111,-2.48412401759879E-15,7.42461647718073E-16,-0.00407409549700027,0,0,0,0.000539506193520435,1.25867201372513E-08,3.10192729707385E-25,-5.77475465138582E-23,1.25867201372513E-08,-1.04121359605112E-22,3.31683628481004E-09,0,0,0,0,0,0,package://descripe/meshes/111.STL,0.505882352941176,0.505882352941176,0.584313725490196,1,0,0,0,0,0,0,package://descripe/meshes/111.STL,,02-12,Coordinate System21,Axis21,111,revolute,0.394850000000003,0,0,0,0,0,11,0,0,-1,1000,1000,0,6.28,,,,,,,,
end,-6.77813360994151E-12,4.78702383288621E-10,-7.20703600430445E-05,0,0,0,0.0073232288565885,1.29389854254997E-06,5.90347232709036E-14,3.32239753383043E-16,1.29389851994944E-06,1.08771194613915E-15,2.45573100523025E-06,0,0,0,0,0,0,package://descripe/meshes/end.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://descripe/meshes/end.STL,,end-1,Coordinate System8,,end,fixed,0.011235,-0.021058,-0.014,-1.5708,0,2.0609,111,0,0,0,,,,,,,,,,,,
12,0.19742501544071,-3.21557342481474E-05,-0.000101301405876497,0,0,0,0.00971847007327643,5.27630255465164E-08,-7.6472615104267E-14,1.79725486257925E-14,8.64526176495693E-05,1.01311232467429E-09,8.64554877047388E-05,0,0,0,0,0,0,package://descripe/meshes/12.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://descripe/meshes/12.STL,,tay-3,Coordinate System10,Axis18,12,revolute,0.0800000000000001,0,-0.014,0,0,-2.14225469636022,1,0,0,1,1000,1000,0,6.28,,,,,,,,
121,-2.92821322744885E-15,5.55111512312578E-16,0.00407409549700097,0,0,0,0.000539506193520435,1.25867201372513E-08,-3.10192729707385E-25,-5.4335426487077E-23,1.25867201372513E-08,-1.08877648127292E-22,3.31683628481004E-09,0,0,0,0,0,0,package://descripe/meshes/121.STL,0.505882352941176,0.505882352941176,0.584313725490196,1,0,0,0,0,0,0,package://descripe/meshes/121.STL,,02-11,Coordinate System20,Axis20,121,revolute,0.394850000000003,0,0,0,0,0,12,0,0,1,1000,1000,0,6.28,,,,,,,,
2,0.0361016048824097,-3.81998845611076E-08,-2.16627963067761E-08,0,0,0,0.017511882705247,7.21182417832101E-07,-3.05683665426289E-11,-1.54396755563605E-11,1.08038679441715E-05,-4.42594051820329E-12,1.12029329427599E-05,0,0,0,0,0,0,package://descripe/meshes/2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://descripe/meshes/2.STL,,1-1;02-3;02-4,Coordinate System12,Axis7,2,revolute,-0.065,-0.11258,-0.02,1.5708,-0.08134,-2.0944,base_link,0,0,-1,1000,1000,0,6.28,,,,,,,,
21,0.197425007172998,7.93569963735349E-05,7.06996290023021E-05,0,0,0,0.00971847016176818,5.27630470383877E-08,-1.59042470481183E-14,2.20147016262096E-14,8.64542546902223E-05,1.74497344875077E-09,8.64538506463955E-05,0,0,0,0,0,0,package://descripe/meshes/21.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://descripe/meshes/21.STL,,tay-5,Coordinate System13,Axis14,21,revolute,0.0800000000000006,0,0.0140000000000007,0,0,-2.14225469636022,2,0,0,-1,1000,1000,0,6.28,,,,,,,,
211,-2.77555756156289E-15,2.28983498828939E-16,-0.00407409549700025,0,0,0,0.000539506193520435,1.25867201372514E-08,0,-4.34470654252548E-24,1.25867201372514E-08,-3.59090668585845E-23,3.31683628481004E-09,0,0,0,0,0,0,package://descripe/meshes/211.STL,0.505882352941176,0.505882352941176,0.584313725490196,1,0,0,0,0,0,0,package://descripe/meshes/211.STL,,02-7,Coordinate System22,Axis17,211,revolute,0.394850000000002,0,0,0,0,0,21,0,0,-1,1000,1000,0,6.28,,,,,,,,
